序號,行政區,屬性,機構名稱,機構類型,地址,Lng(TWD97),Lat(TWD97),x,y
139,大安區,公立,和平實驗小學,共融式遊戲場,臺北市大安區敦南街76巷28號,305172,2768184.5,121.546669,25.02072525
140,大安區,公立,建安國小,共融式遊戲場,臺北市大安區大安路二段99號,305115.8125,2769144,121.5461502,25.02939034
141,大安區,公立,古亭國小,共融式遊戲場,臺北市大安區羅斯福路三段201號,303336.9063,2768171,121.5284882,25.02066994
142,中山區,公立,明水公園,共融式遊戲場,臺北市中山區北安路538巷1弄,305307.1875,2774749,121.5482712,25.07998466
143,中山區,公立,永盛公園,共融式遊戲場,"臺北市中山區中山北路二段93巷26,40號間",302897.4063,2772437,121.524292,25.05919838
144,中山區,公立,大佳河濱公園,共融式遊戲場,臺北市中山區濱江街　,303504.3125,2773830,121.530365,25.07175255
145,中山區,公立,中安公園,共融式遊戲場,臺北市中山區中山北路二段65巷2弄內,302861.9063,2772167,121.5239334,25.0567627
146,中山區,公立,花博公園美術園區,共融式遊戲場,臺北市中山區民族東路以北中山北路以東(原民族公園),302798.9688,2773444.75,121.5233612,25.06830025
147,中山區,公立,花博公園美術園區,共融式遊戲場,臺北市中山區民族東路以北中山北路以東(原民族公園),302798.9688,2773444.75,121.5233612,25.06829834
148,中山區,公立,榮星公園,共融式遊戲場,臺北市中山區民權東路三段1號,304489.8125,2772768,121.5400925,25.06212997
149,內湖區,公立,石潭公園,共融式遊戲場,臺北市內湖區成功路二段東側,309654.4063,2772577,121.5912705,25.06021118
150,內湖區,公立,大港墘公園,共融式遊戲場,臺北市內湖區瑞光路393巷旁,307798.8125,2774617,121.5729675,25.07869911
151,內湖區,公立,碧湖公園,共融式遊戲場,臺北市內湖區內湖路二段175號，國立臺灣戲曲學院旁,309091.8438,2774896,121.5857925,25.08116722
152,內湖區,公立,碧湖公園,共融式遊戲場,臺北市內湖區內湖路二段175號，國立臺灣戲曲學院旁,309091.8438,2774896,121.5857925,25.08116913
153,內湖區,公立,潭美國小,共融式遊戲場,臺北市內湖區新明路22號,309401.5,2772456,121.5887604,25.05912781
154,文山區,公立,萬芳4號公園,共融式遊戲場,臺北市文山區萬和街1號對面,307290.8125,2766043,121.5675736,25.00131416
155,文山區,公立,興隆公園,共融式遊戲場,臺北市文山區興隆路二段154巷與仙岩路交口,305686.375,2766003.5,121.5516739,25.00101662
156,文山區,公立,興隆公園,共融式遊戲場,臺北市文山區興隆路二段154巷與仙岩路交口,305686.375,2766003.5,121.5516739,25.00101662
