編號,年度,工場名稱,營業項目,聯絡人,地址,電話
43,112,樸樹咖啡,餐飲業,孫文琪,臺北市萬華區廣州街95-1、95-2、95-3號,2306-6308
44,112,"勝利加油站
(大安加油站)",加油站業,李志平,臺北市大安區建國南路2段75-1號,2755-5499
45,112,"陽光加油站
(市民加油站)",加油站業,王顧婷,臺北市大安區建國南路1段57-1號,2752-9929
46,112,"陽光汽車美容中心
(建和社會企業)",汽車美容業,蔡淞梧,臺北市大安區建國南路2段280號,2365-7791
47,112,建北加油站,加油站業,王顧婷,臺北市中山區建國北路3段91之1號,2515-0228
48,112,"勝利廚房
(臺北社企館1、2F)",餐飲業,張湘蓉,臺北市中山區八德路2段174巷28號1、2樓,2776-6603
49,112,"TaipeiSESquare交流空間
(臺北社企館3F)",多功能會議廳、空間場地出借,魏淑宜,臺北市中山區八德路2段174巷28號3樓,8772-6020
50,112,黑暗對話社會企業股份有限公司(臺北社企館4F),教育課程,李芳琦,臺北市中山區八德路2段174巷28號4樓,8772-3100
51,112,"視障者音樂發展中心
(臺北社企館5F)",藝文服務、文教服務、樂器/育樂用品出租銷售,謝佩君,臺北市中山區八德路2段174巷28號5樓,"7730-7388
轉102"
52,112,"陽光活力中心八德館
(臺北社企館6、7F)",運動、輕食飲料、運動相關百貨零售,李政寧,臺北市中山區八德路2段174巷28號6、7樓,2772-8816
